perturbation,pre-adipo_signature_mean,pre-adipo_signature_std,pre-adipo_signature_median,pre-adipo_n_genes,adipo_signature_mean,adipo_signature_std,adipo_signature_median,adipo_n_genes,lipo_signature_mean,lipo_signature_std,lipo_signature_median,lipo_n_genes,thermo_signature_mean,thermo_signature_std,thermo_signature_median,thermo_n_genes,is_signature_gene,is_pre-adipo_gene,is_adipo_gene,is_lipo_gene,is_thermo_gene,gene_mean_expr,gene_std_expr,gene_cv_expr,gene_max_expr,pre-adipo_max_corr,pre-adipo_mean_corr,adipo_max_corr,adipo_mean_corr,lipo_max_corr,lipo_mean_corr,thermo_max_corr,thermo_mean_corr,euclidean,cosine,cell_count,pre_adipo,adipo,other,lipo,lipo_adipo,total_shift,cluster
AATF,2.297744482559141,0.8532962674793297,2.472284140983105,32,1.9701853684773216,0.70004971051251,2.1839041566489064,42,1.3741037934355125,0.935252081638437,1.3738407054262078,81,1.4066951224895217,0.9449176602041086,1.4515754589672498,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5170887307051277,0.0008002441619613,300.0,-0.0052393296977611,0.0105077061170648,-0.0052683764193036,0.009888115522961,0.0262398694175033,0.0571433971745941,6.0
ABT1,2.2441956901111295,0.8415734187361807,2.458051962637252,32,2.0045896271207906,0.6949759326221738,2.1031899838977317,42,1.4219858784959167,0.9441006496637243,1.4642353922445728,81,1.4086370550989902,0.9421569365446625,1.3481431829222408,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.550813311726608,0.0015850223654253,300.0,-0.0209699486246728,0.0740440918373859,-0.0530741432127129,0.0480957623332694,0.0843884714003483,0.2805724174083896,5.0
AFF1,2.3263474819465064,0.8514674513730431,2.5167906198992993,32,1.9490882840705688,0.6934614895930427,2.1216381860528353,42,1.351183939360304,0.9364721343224989,1.2629013210484634,81,1.3906000047240332,0.9478945274133016,1.4021856613228174,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4020997967366817,0.0007266914197309,300.0,0.0520222011337812,-0.0039299419790391,-0.0480922591547419,0.0079387575023515,0.0355103861348286,0.1474935459047424,1.0
ANKRA2,2.2336996901336623,0.8444017400603799,2.4151283114657165,32,2.010100957205693,0.700369652785513,2.1633887508569902,42,1.4066092488819657,0.9561216881424431,1.4510082968075486,81,1.4148547780201621,0.9525382332223971,1.4116676234162344,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3056117836372345,0.0013598270144172,300.0,-0.0787848268590716,0.055558415603422,0.0232264112556496,0.0298445120614713,0.0471175289919714,0.2345316947715861,5.0
BCL6,2.2728085593172436,0.8825731996968291,2.465437604995021,32,1.9831760525292144,0.6942076607612289,2.1351127121635516,42,1.3940265226501543,0.9464527726625772,1.4129540414100816,81,1.4252266567923964,0.9476040526646589,1.553527413124287,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196240231021516,0.0012898143896393,300.0,-0.0019522429418908,-0.0018279395451417,0.0037801824870326,-0.0012575031459502,-0.002975754590118,0.0117936227101334,6.0
BDP1,2.275663045678589,0.8622063679711164,2.438834626827137,32,1.9395863394129658,0.6890191980847122,2.0881795333109086,42,1.3544598739949816,0.9313693930291617,1.29858967836383,81,1.3867186820193218,0.9334998136601436,1.511962713629594,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.024450433979163,0.0011257410479507,300.0,-0.0135950243134406,0.0053896489067167,0.0082053754067238,0.0172336672681771,0.0599737466085518,0.1043974625036103,6.0
BRCA1,2.2614842315123695,0.868141765974452,2.446359949072999,32,2.0202474181581036,0.6854659708861013,2.230142742501532,42,1.4157974791948953,0.9576784782754358,1.4394838858160095,81,1.4263982860341233,0.961069500996979,1.4845834770002686,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.699987851566581,0.0017104294670512,300.0,-0.0349901400345701,0.0617746007076006,-0.0267844606730304,0.026212008831869,0.0295371196352464,0.1792983298823166,5.0
BTAF1,2.35020913822493,0.8464475953354932,2.482988745212473,32,1.911741910799764,0.6991803469496306,2.0474498631304643,42,1.3370360789082096,0.927516816655912,1.3274258836231707,81,1.3745375551566357,0.9374429581824472,1.437566055142231,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857369637868303,0.0010159790947806,300.0,0.0563834464370555,-0.0291580686564413,-0.0272253777806141,-0.0174906574198169,-0.0419027412782988,0.1721602915722267,1.0
BTG2,2.2773608802268943,0.8608137288864343,2.5046431161970957,32,1.9980723751875602,0.6941033896151867,2.114269964888999,42,1.395138958457871,0.9534096089242375,1.377527153278589,81,1.429527700290864,0.9555625022781601,1.462918198026384,81,0,0,0,0,0,0.5755706180453406,0.12844761370070618,0.22316568923306496,1.1587855479868483,0.3685558034850576,-0.44243693651571625,0.7139724755259187,0.44797994780582395,0.7883620745250287,0.3981256171429267,0.7826482310301686,0.1783888176630403,2.915431347191741,0.0010626065755302,300.0,-0.0043161420403107,0.0181670342242172,-0.0138508921839063,0.0096012493017193,0.0169247429223197,0.0628600606724735,6.0
CBFB,2.3278226389598773,0.8486352197430239,2.4976771696284827,32,1.9406171628942626,0.7241196671973837,2.087796748989069,42,1.357804145580906,0.9379478122555488,1.3263180234322969,81,1.3933363506051055,0.9448179846957019,1.4385100001322615,81,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9452638239693023,0.0010883135700048,300.0,0.0502106069308826,-0.0160565317453806,-0.0341540751855021,-0.0223407456032384,-0.0744493724164793,0.1972113318814831,6.0
