program,sig_gene
pre-adipo,COL1A1
pre-adipo,COL1A2
pre-adipo,FN1
pre-adipo,DCN
pre-adipo,COL6A1
pre-adipo,COL6A2
pre-adipo,MFAP5
pre-adipo,PRRX1
pre-adipo,PTX3
pre-adipo,COL6A3
pre-adipo,TIMP1
pre-adipo,ACTB
pre-adipo,SVEP1
pre-adipo,GLS
pre-adipo,BICC1
pre-adipo,CCN1
pre-adipo,FSTL1
pre-adipo,THBS1
pre-adipo,THY1
pre-adipo,CALD1
pre-adipo,MYO1D
pre-adipo,COL12A1
pre-adipo,LMO7
pre-adipo,EXT1
pre-adipo,NEGR1
pre-adipo,SLIT3
pre-adipo,COL3A1
pre-adipo,CDH11
pre-adipo,LSAMP
pre-adipo,DDAH1
pre-adipo,CST3
pre-adipo,CD81
pre-adipo,VIM
pre-adipo,DCLK1
pre-adipo,FGF7
pre-adipo,USP53
pre-adipo,ACTG1
pre-adipo,FBXL7
pre-adipo,CACNA1C
pre-adipo,MIR100HG
pre-adipo,CTHRC1
pre-adipo,SERPINE1
pre-adipo,SASH1
pre-adipo,ADAMTSL1
pre-adipo,ADM
pre-adipo,ITGB1
pre-adipo,LAPTM4A
pre-adipo,SPARC
pre-adipo,TMSB4X
pre-adipo,PEAK1
adipo,PDE3B
adipo,GPAM
adipo,ACACB
adipo,ME1
adipo,LPL
adipo,ACSL1
adipo,ACSS2
adipo,GHR
adipo,GRK3
adipo,ACACA
adipo,SAT1
adipo,AMBRA1
adipo,SCD
adipo,ELOVL6
adipo,TMEM135
adipo,LPIN1
adipo,ZNF117
adipo,ELOVL5
adipo,SOX5
adipo,VKORC1L1
adipo,ABCD2
adipo,LINC00632
adipo,ECHDC1
adipo,PPARG
adipo,G0S2
adipo,ACER3
adipo,ADIPOQ
adipo,ACLY
adipo,EHBP1
adipo,ABCA1
adipo,ADIPOR2
adipo,CD36
adipo,ZBED3-AS1
adipo,SIK2
adipo,ERV3-1
adipo,TRHDE
adipo,ANO6
adipo,APBB1IP
adipo,FHIT
adipo,INSIG1
adipo,MME
adipo,OSBPL11
adipo,SLC16A7
adipo,ITPR2
adipo,MVD
adipo,FADS1
adipo,ZFPM2
adipo,PRUNE2
adipo,HIVEP3
adipo,TENM4
lipo,SREBF1
lipo,MLXIPL
lipo,SREBF2
lipo,FASN
lipo,ACC1
lipo,SCD1
lipo,ACLY
lipo,ELOVL6
lipo,NR1H3
lipo,NR1H2
lipo,PPM1K
lipo,BCKDH
lipo,BDK
lipo,ACSL1
lipo,GPAM
lipo,ACAA2
lipo,ACACA
lipo,ACACB
lipo,ACSL3
lipo,ACSL4
lipo,ACSL5
lipo,ACSL6
lipo,ACSS2
lipo,DECR1
lipo,ECH1
lipo,ECHDC1
lipo,ECHDC2
lipo,ECHDC3
lipo,ECHS1
lipo,HADH
lipo,MECR
lipo,PC
lipo,PECR
lipo,SCD
lipo,AGMO
lipo,DGAT1
lipo,DGAT2
lipo,GK
lipo,GK2
lipo,GK3P
lipo,GPAT2
lipo,LPIN1
lipo,LPIN2
lipo,LPIN3
lipo,MOGAT1
lipo,MOGAT2
lipo,MOGAT3
lipo,CARM1
lipo,CHD9
lipo,CREBBP
lipo,CYP51A1
lipo,DHCR7
lipo,FDFT1
lipo,FDPS
lipo,GGPS1
lipo,HELZ2
lipo,HMGCR
lipo,HMGCS1
lipo,IDI1
lipo,LSS
lipo,MED1
lipo,MTF1
lipo,MVD
lipo,MVK
lipo,NCOA1
lipo,NCOA2
lipo,NCOA6
lipo,NFYA
lipo,NFYB
lipo,NFYC
lipo,PMVK
lipo,PPARA
lipo,RXRA
lipo,SC5D
lipo,SMARCD3
lipo,SP1
lipo,SQLE
lipo,TBL1X
lipo,TBL1XR1
lipo,TGS1
lipo,TM7SF2
lipo,AACS
lipo,ALDOC
lipo,HSD17B7
lipo,INSIG1
lipo,LDLR
lipo,ME1
lipo,PCSK9
lipo,RDH11
lipo,STARD4
lipo,ACSS1
lipo,AKT1
lipo,AMFR
lipo,ATF6
lipo,CAMP
lipo,CDK8
lipo,CREB1
lipo,DBI
lipo,FGF21
lipo,GSK3A
lipo,INS
lipo,INSIG2
lipo,KPNB1
lipo,LPL
lipo,MBTPS1
lipo,MBTPS2
lipo,MDH1
lipo,MED15
lipo,MIR33A
lipo,MIR33B
lipo,MIR6764
lipo,MIR6886
lipo,MTOR
lipo,PIK3CA
lipo,PPARG
lipo,PPARGC1B
lipo,PRKAA1
lipo,PRKAA2
lipo,PRKAB1
lipo,PRKAB2
lipo,PRKACA
lipo,PRKAG1
lipo,PRKAG2
lipo,PRKAG3
lipo,RBP4
lipo,RNF139
lipo,SAR1A
lipo,SAR1B
lipo,SCAP
lipo,SCARB1
lipo,SEC13
lipo,SEC23A
lipo,SEC23B
lipo,SEC24A
lipo,SEC24B
lipo,SEC24C
lipo,SEC24D
lipo,SEC31A
lipo,SEC31B
lipo,SIRT1
lipo,YY1
lipo,ANGPTL3
lipo,NRIP1
lipo,RXRB
lipo,AGPAT4
lipo,CDIPT
lipo,CDS1
lipo,CHKB
lipo,CHPT1
lipo,CRLS1
lipo,DGKZ
lipo,ETNK1
lipo,GPAT4
lipo,MIR6848
lipo,MIR7109
lipo,PCYT1A
lipo,PCYT2
lipo,PEMT
lipo,PISD
lipo,PLA2G1B
lipo,PLD1
lipo,PNPLA2
lipo,PNPLA3
lipo,PTDSS1
lipo,PTDSS2
lipo,ABHD3
lipo,ABHD4
lipo,ABHD5
lipo,ABHD8
lipo,ACP6
lipo,AGPAT1
lipo,AGPAT2
lipo,AGPAT3
lipo,AGPAT5
lipo,AJUBA
lipo,ALOX15
lipo,ANG
lipo,APOA1
lipo,APOA2
lipo,ATG14
lipo,ATM
lipo,AVIL
lipo,AWAT2
lipo,BECN1
lipo,BMX
lipo,BPNT1
lipo,BPNT2
lipo,C3
lipo,CAPN2
lipo,CDS2
lipo,CEPT1
lipo,CHAT
lipo,CHKA
lipo,CISH
lipo,CLN3
lipo,CNEP1R1
lipo,CTDNEP1
lipo,CWH43
lipo,DGAT2L6
lipo,DGKA
lipo,DGKB
lipo,DGKD
lipo,DGKE
lipo,DGKG
lipo,DGKH
lipo,DGKQ
lipo,DHRS7B
lipo,DPM1
lipo,DPM2
lipo,DPM3
lipo,EFR3A
lipo,EFR3B
lipo,ETNK2
lipo,FABP3
lipo,FABP5
lipo,FAM126A
lipo,FAM126B
lipo,FAR1
lipo,FBXW7
lipo,FGF2
lipo,FIG4
lipo,FITM2
lipo,GNPAT
lipo,GPAA1
lipo,GPAT3
lipo,GPLD1
lipo,HDHD5
lipo,HTR2A
lipo,HTR2B
lipo,HTR2C
lipo,IMPA1
lipo,IMPA2
lipo,INPP1
lipo,INPP4A
lipo,INPP4B
lipo,INPP5D
lipo,INPP5E
lipo,INPP5F
lipo,INPP5J
lipo,INPP5K
lipo,INPPL1
lipo,IP6K1
lipo,IP6K2
lipo,IP6K3
lipo,IPMK
lipo,ITPKA
lipo,ITPKB
lipo,ITPKC
