,is_signature_gene,is_pre-adipo_gene,is_adipo_gene,is_lipo_gene,is_thermo_gene,pre_adipo_enrichment,adipo_enrichment,lipo_enrichment,thermo_enrichment,enrichment_specificity,mean_expression,std_expression,cv_expression,pre_adipo_specific_expr,adipo_specific_expr,lipo_specific_expr,lipo_adipo_specific_expr,differentiation_ratio,lipogenesis_ratio,lipo_adipo_ratio,degree_centrality,weighted_degree,neighbor_sig_enrichment,clustering_coefficient,pre_adipo_pert_score,adipo_pert_score,lipo_pert_score,lipo_adipo_pert_score,pert_euclidean_dist,pert_cosine_dist,pert_total_shift
RNASEH2C,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1887372268445374,0.3366113258485854,0.229774954788324,0.2328318147062572,12.12211403597847,0.0185198020586658,1.135829421191752
FAM136A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1215581005521105,0.239045509070946,0.1205163972539044,0.1119291728275879,8.606647419628487,0.0093905865567754,0.7105365882233843
EP400,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0845116152913396,0.1743913140596081,0.1369846512221584,0.207467207448563,6.968397803028774,0.0060973439097369,0.6932344867899376
SRPK1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481780866056794,-0.062431179165324,-0.069959793222286,-0.2716324710080285,6.641145610235977,0.0053173978236742,0.4664546225609628
TMEM107,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0975881352074821,0.1433902658415788,0.1187194520607328,0.198955764286089,6.599902664098237,0.0055163310628282,0.6044557480299795
CEBPA,1,0,0,0,1,-0.3071593216944985,0.32529222938555785,0.07658110570134657,0.06197417267101239,1.0,1.8723062643034833,0.14811629919802907,0.07910896999757665,0,2.2555577211602835,2.2502605674843643,2.1013023348288637,2255557.721160284,0.9976510681694006,1.122306351575562,128.0,54.51956177553278,1.0,0.7999507874015748,0.02785706451481121,-0.019764753153252886,-0.011943304511220455,-0.03315917347891808,3.490305127653773,0.00165856385176697,0.1650339412441311
CEBPB,1,0,0,0,1,-0.038506452793827604,0.06612489952993082,0.025135977063210725,0.01848192408724476,38.80988024315362,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233398586315629,-0.1214987086161288,-0.0393475483243269,-0.0466324710080286,4.9636527728463165,0.0031164069393715,0.3326597365954812
NFIB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4287184832056121,0.06527790831575721,0.1522625186699299,0,0.44226746442507436,0.5141436134404788,0.5000927851768859,442267.4644250744,1.1625147501955364,1.1664801922170716,0.0,0.0,0.0,0.0,0.00819387582323183,0.013202323632027979,0.0018861242727934602,-0.012517609286838373,3.480045972176818,0.001590714883941187,0.17212610196942416
SMAD2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0415559265799916,0.1259355513728201,0.0592013252863691,0.065173084547527,4.886303496772791,0.0030170420119413,0.3762455125795363
PHF3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967474034676791,-0.1038734767051826,-0.0180117412742341,0.0663956980060559,4.739094303724741,0.0028403753161305,0.2921543926906554
